"oid","fk_books","fk_langs"
84753651,13524,"fr"
84753652,13525,"fr"
84753685,13557,"fr"
84753690,13562,"fr"
84753692,13564,"fi"
84753693,13565,"fi"
84753694,13566,"fi"
84753708,13580,"fi"
84753709,13581,"fi"
84753713,13585,"nl"
84753718,13591,"nl"
84753719,13592,"fr"
84753720,13593,"fi"
84753721,13594,"fr"
84753722,13595,"nl"
84753723,13596,"nl"
84753725,13598,"fr"
84753726,13599,"da"
84753757,13607,"fr"
84753758,13608,"es"
84753772,13622,"fr"
84753775,13625,"nl"
84753777,13627,"it"
84753778,13628,"fr"
84753779,13629,"fr"
84753872,13630,"pt"
84753729,13653,"fr"
84753730,13654,"fr"
84753733,13657,"de"
84753734,13658,"de"
84753735,13659,"de"
84753737,13661,"de"
84753738,13662,"fi"
84753739,13663,"fi"
84753744,13668,"fr"
84753747,13671,"fr"
84753802,13676,"fr"
84753807,13681,"fi"
84753808,13682,"fi"
84753809,13683,"tl"
84753812,13686,"tl"
84753813,13687,"tl"
84753816,13690,"de"
84753817,13691,"fi"
84753821,13696,"nl"
84753822,13697,"nl"
84753823,13698,"nl"
84753824,13699,"nl"
84753828,13703,"fr"
84753829,13704,"fr"
84753830,13705,"nl"
84753857,13727,"fr"
84753863,13732,"de"
84753864,13733,"fi"
84753865,13734,"fr"
84753866,13735,"fr"
84753868,13737,"fr"
84753874,13743,"fr"
84753875,13744,"fr"
84753876,13745,"fi"
84753896,13765,"fr"
84753899,13768,"fi"
84753900,13769,"fi"
84753903,13771,"fr"
84753902,13772,"fr"
84753904,13773,"tl"
84753910,13779,"fi"
84753911,13780,"fi"
84753918,13787,"nl"
84753923,13792,"fr"
84753924,13793,"fr"
84753925,13794,"fr"
84753926,13795,"fr"
84753929,13798,"fr"
84753933,13802,"nl"
84753935,13804,"fr"
84753936,13805,"de"
84753938,13807,"fr"
84753939,13808,"fr"
84753941,13810,"de"
84753949,13818,"fr"
84753950,13819,"fr"
84753956,13825,"fr"
84753965,13834,"fr"
84753968,13837,"fr"
84753969,13838,"fr"
84753970,13839,"fr"
84753976,13845,"fi"
84753977,13846,"fr"
84753979,13848,"fr"
84753980,13849,"fi"
84753981,13850,"fi"
84753986,13855,"fr"
84753987,13856,"fr"
84753988,13857,"fr"
84753992,13861,"fr"
84753993,13862,"fr"
84753994,13863,"fr"
84753997,13866,"fr"
84753998,13867,"nl"
84753999,13868,"fr"
84754000,13869,"nl"
84754004,13873,"fi"
84754005,13874,"fi"
84754018,13875,"fr"
84754023,13892,"fr"
84754032,13901,"nl"
84754033,13902,"nl"
84754035,13904,"es"
